,anio,municipio_nombre,municipio_id,sexo,intervalo_peso,nacidos_cantidad,centroide_lat,centroide_lon
119,2014,Bragado,06112,Masculino,500-999,2,-35.0610928531071,-60.6042295511118
120,2014,Bragado,06112,Masculino,Ignorado,3,-35.0610928531071,-60.6042295511118
121,2014,Brandsen,06119,Masculino,1000-1499,2,-35.2221104711751,-58.1760719473086
122,2014,Brandsen,06119,Masculino,1500-1999,9,-35.2221104711751,-58.1760719473086
123,2014,Brandsen,06119,Masculino,2000-2499,21,-35.2221104711751,-58.1760719473086
124,2014,Brandsen,06119,Masculino,2500-2999,52,-35.2221104711751,-58.1760719473086
125,2014,Brandsen,06119,Masculino,3000-3499,96,-35.2221104711751,-58.1760719473086
126,2014,Brandsen,06119,Masculino,3500 y más,107,-35.2221104711751,-58.1760719473086
127,2014,Brandsen,06119,Masculino,Ignorado,5,-35.2221104711751,-58.1760719473086
128,2014,Coronel De Marina Leonardo Rosales,06182,Masculino,1000-1499,3,-38.8488346485235,-61.8360446581448
129,2014,Coronel De Marina Leonardo Rosales,06182,Masculino,1500-1999,9,-38.8488346485235,-61.8360446581448
130,2014,Coronel De Marina Leonardo Rosales,06182,Masculino,2000-2499,11,-38.8488346485235,-61.8360446581448
131,2014,Coronel De Marina Leonardo Rosales,06182,Masculino,2500-2999,64,-38.8488346485235,-61.8360446581448
132,2014,Coronel De Marina Leonardo Rosales,06182,Masculino,3000-3499,199,-38.8488346485235,-61.8360446581448
133,2014,Coronel De Marina Leonardo Rosales,06182,Masculino,3500 y más,168,-38.8488346485235,-61.8360446581448
134,2014,Coronel De Marina Leonardo Rosales,06182,Masculino,500-999,1,-38.8488346485235,-61.8360446581448
135,2014,Coronel De Marina Leonardo Rosales,06182,Masculino,Ignorado,38,-38.8488346485235,-61.8360446581448
136,2014,Campana,06126,Masculino,1000-1499,8,-34.1381957287912,-58.8830222693034
137,2014,Campana,06126,Masculino,1500-1999,10,-34.1381957287912,-58.8830222693034
138,2014,Campana,06126,Masculino,2000-2499,27,-34.1381957287912,-58.8830222693034
139,2014,Campana,06126,Masculino,2500-2999,117,-34.1381957287912,-58.8830222693034
140,2014,Campana,06126,Masculino,3000-3499,385,-34.1381957287912,-58.8830222693034
141,2014,Campana,06126,Masculino,3500 y más,352,-34.1381957287912,-58.8830222693034
142,2014,Campana,06126,Masculino,500-999,6,-34.1381957287912,-58.8830222693034
143,2014,Campana,06126,Masculino,Ignorado,7,-34.1381957287912,-58.8830222693034
144,2014,Cañuelas,06134,Masculino,1000-1499,5,-35.1450252367714,-58.6907790273655
145,2014,Cañuelas,06134,Masculino,1500-1999,6,-35.1450252367714,-58.6907790273655
146,2014,Cañuelas,06134,Masculino,2000-2499,33,-35.1450252367714,-58.6907790273655
147,2014,Cañuelas,06134,Masculino,2500-2999,94,-35.1450252367714,-58.6907790273655
148,2014,Cañuelas,06134,Masculino,3000-3499,238,-35.1450252367714,-58.6907790273655
149,2014,Cañuelas,06134,Masculino,3500 y más,252,-35.1450252367714,-58.6907790273655
150,2014,Cañuelas,06134,Masculino,Ignorado,5,-35.1450252367714,-58.6907790273655
151,2014,Capitán Sarmiento,06140,Masculino,1000-1499,2,-34.1497065018665,-59.8548037960898
152,2014,Capitán Sarmiento,06140,Masculino,1500-1999,1,-34.1497065018665,-59.8548037960898
153,2014,Capitán Sarmiento,06140,Masculino,2000-2499,4,-34.1497065018665,-59.8548037960898
154,2014,Capitán Sarmiento,06140,Masculino,2500-2999,19,-34.1497065018665,-59.8548037960898
155,2014,Capitán Sarmiento,06140,Masculino,3000-3499,52,-34.1497065018665,-59.8548037960898
156,2014,Capitán Sarmiento,06140,Masculino,3500 y más,46,-34.1497065018665,-59.8548037960898
157,2014,Capitán Sarmiento,06140,Masculino,Ignorado,3,-34.1497065018665,-59.8548037960898
158,2014,Carlos Casares,06147,Masculino,1500-1999,1,-35.7496551260772,-61.3737522686863
159,2014,Carlos Casares,06147,Masculino,2000-2499,9,-35.7496551260772,-61.3737522686863
160,2014,Carlos Casares,06147,Masculino,2500-2999,25,-35.7496551260772,-61.3737522686863
161,2014,Carlos Casares,06147,Masculino,3000-3499,66,-35.7496551260772,-61.3737522686863
162,2014,Carlos Casares,06147,Masculino,3500 y más,66,-35.7496551260772,-61.3737522686863
163,2014,Carlos Casares,06147,Masculino,500-999,1,-35.7496551260772,-61.3737522686863
164,2014,Carlos Casares,06147,Masculino,Ignorado,12,-35.7496551260772,-61.3737522686863
165,2014,Carlos Tejedor,06154,Masculino,1500-1999,1,-35.379488920773,-62.4295611893429
166,2014,Carlos Tejedor,06154,Masculino,2000-2499,4,-35.379488920773,-62.4295611893429
167,2014,Carlos Tejedor,06154,Masculino,2500-2999,11,-35.379488920773,-62.4295611893429
168,2014,Carlos Tejedor,06154,Masculino,3000-3499,45,-35.379488920773,-62.4295611893429
169,2014,Carlos Tejedor,06154,Masculino,3500 y más,19,-35.379488920773,-62.4295611893429
170,2014,Carlos Tejedor,06154,Masculino,Ignorado,2,-35.379488920773,-62.4295611893429
171,2014,Carmen De Areco,06161,Masculino,1000-1499,1,-34.4067983092213,-59.8842434040917
172,2014,Carmen De Areco,06161,Masculino,1500-1999,2,-34.4067983092213,-59.8842434040917
173,2014,Carmen De Areco,06161,Masculino,2000-2499,7,-34.4067983092213,-59.8842434040917
174,2014,Carmen De Areco,06161,Masculino,2500-2999,16,-34.4067983092213,-59.8842434040917
175,2014,Carmen De Areco,06161,Masculino,3000-3499,59,-34.4067983092213,-59.8842434040917
176,2014,Carmen De Areco,06161,Masculino,3500 y más,59,-34.4067983092213,-59.8842434040917
177,2014,Carmen De Areco,06161,Masculino,500-999,1,-34.4067983092213,-59.8842434040917
178,2014,Carmen De Areco,06161,Masculino,Ignorado,2,-34.4067983092213,-59.8842434040917
179,2014,Castelli,06168,Masculino,2000-2499,4,-36.0416694003038,-57.6570625693146
180,2014,Castelli,06168,Masculino,2500-2999,13,-36.0416694003038,-57.6570625693146
181,2014,Castelli,06168,Masculino,3000-3499,35,-36.0416694003038,-57.6570625693146
182,2014,Castelli,06168,Masculino,3500 y más,19,-36.0416694003038,-57.6570625693146
183,2014,Castelli,06168,Masculino,Ignorado,1,-36.0416694003038,-57.6570625693146
184,2014,Chacabuco,06210,Masculino,1000-1499,1,-34.6184039263126,-60.3539279007252
185,2014,Chacabuco,06210,Masculino,1500-1999,11,-34.6184039263126,-60.3539279007252
186,2014,Chacabuco,06210,Masculino,2000-2499,12,-34.6184039263126,-60.3539279007252
187,2014,Chacabuco,06210,Masculino,2500-2999,60,-34.6184039263126,-60.3539279007252
188,2014,Chacabuco,06210,Masculino,3000-3499,165,-34.6184039263126,-60.3539279007252
189,2014,Chacabuco,06210,Masculino,3500 y más,132,-34.6184039263126,-60.3539279007252
190,2014,Chacabuco,06210,Masculino,500-999,1,-34.6184039263126,-60.3539279007252
191,2014,Chacabuco,06210,Masculino,Ignorado,2,-34.6184039263126,-60.3539279007252
192,2014,Chascomús,06218,Masculino,1000-1499,2,-35.6187689428966,-57.9043202817549
193,2014,Chascomús,06218,Masculino,1500-1999,1,-35.6187689428966,-57.9043202817549
194,2014,Chascomús,06218,Masculino,2000-2499,15,-35.6187689428966,-57.9043202817549
195,2014,Chascomús,06218,Masculino,2500-2999,55,-35.6187689428966,-57.9043202817549
196,2014,Chascomús,06218,Masculino,3000-3499,142,-35.6187689428966,-57.9043202817549
197,2014,Chascomús,06218,Masculino,3500 y más,90,-35.6187689428966,-57.9043202817549
198,2014,Chascomús,06218,Masculino,500-999,3,-35.6187689428966,-57.9043202817549
199,2014,Chascomús,06218,Masculino,Ignorado,1,-35.6187689428966,-57.9043202817549
200,2014,Chivilcoy,06224,Masculino,1000-1499,4,-34.9157089757004,-59.9584822196811
201,2014,Chivilcoy,06224,Masculino,1500-1999,4,-34.9157089757004,-59.9584822196811
202,2014,Chivilcoy,06224,Masculino,2000-2499,20,-34.9157089757004,-59.9584822196811
203,2014,Chivilcoy,06224,Masculino,2500-2999,88,-34.9157089757004,-59.9584822196811
204,2014,Chivilcoy,06224,Masculino,3000-3499,250,-34.9157089757004,-59.9584822196811
205,2014,Chivilcoy,06224,Masculino,3500 y más,168,-34.9157089757004,-59.9584822196811
206,2014,Chivilcoy,06224,Masculino,500-999,2,-34.9157089757004,-59.9584822196811
207,2014,Chivilcoy,06224,Masculino,Ignorado,11,-34.9157089757004,-59.9584822196811
208,2014,Colón,06175,Masculino,1000-1499,3,-33.8860220920301,-61.063367492517
209,2014,Colón,06175,Masculino,1500-1999,6,-33.8860220920301,-61.063367492517
210,2014,Colón,06175,Masculino,2000-2499,9,-33.8860220920301,-61.063367492517
211,2014,Colón,06175,Masculino,2500-2999,30,-33.8860220920301,-61.063367492517
212,2014,Colón,06175,Masculino,3000-3499,75,-33.8860220920301,-61.063367492517
213,2014,Colón,06175,Masculino,3500 y más,73,-33.8860220920301,-61.063367492517
214,2014,Coronel Dorrego,06189,Masculino,1000-1499,2,-38.670481146508,-61.0956539726774
215,2014,Coronel Dorrego,06189,Masculino,1500-1999,3,-38.670481146508,-61.0956539726774
216,2014,Coronel Dorrego,06189,Masculino,2000-2499,5,-38.670481146508,-61.0956539726774
217,2014,Coronel Dorrego,06189,Masculino,2500-2999,21,-38.670481146508,-61.0956539726774
